wallet_address,block_signed_at,tx_hash,from_address,to_address,value_quote,pretty_value_quote
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-07-11T14:41:36Z,0x8dbb278832142b3a180914a19abdbad47a98ad8a43173d2c5130d1945a0407aa,0xcf56b6f3eaed63e1281a3b3775a95d443e4c5d0f,0x4779c4db52efd8eec4a5705f1ca0bdd871ba74a0,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-07-07T17:33:50Z,0xa40f3643eeafba01bd27ce9fb977bcfe47e0afcc75e356aab4e5785b34f10073,0xcf56b6f3eaed63e1281a3b3775a95d443e4c5d0f,0xa2ad848f1221e45f3a3e1ab3058505336dbf6659,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-07-02T07:34:50Z,0x7048f6792caeb2ff0419d049da02f3a472e7a238ed6da67232fc26058ce8b7fe,0xcf56b6f3eaed63e1281a3b3775a95d443e4c5d0f,0xa9e6f873a25e31379ff21b0d8356449061d29e9d,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-06-30T14:47:07Z,0xfe2423484b096771d2de3b105ad38293e128767323fdf28f30a139e50d83a150,0xba30713f319e5527ad53f382131afcae962f0c49,0xa9ab0578d5f8e4965a0d6552474ffcbceaeb06cf,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-06-26T11:33:46Z,0x09d4a0916a21344866f6735a603cd08c4b41cbd2ad85c0fe9ca1f63b96177420,0xdad93baf0076279f802080ab09511528f7276594,0x3b545a175a0a37ceb467fa51d5d80343afa2a8d9,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-06-25T12:55:03Z,0xec33570f05e1bf1fb681c99a8339ed6fbd130d53c5aae93ae09af4be1100e33a,0xdad93baf0076279f802080ab09511528f7276594,0xda374ff6c2c97583eca78a273c9bd1dbc1a5caa8,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-06-17T13:27:57Z,0xb802bbe9e70e59ef37f47f925ca82038f60f0c5cc731f3261c12a4c5c216f20f,0xc50e9f3e28adddd5b13af891ca7cc321c4906071,0x72fe31aae72fea4e1f9048a8a3ca580eeba3cd58,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-06-13T11:26:28Z,0xbde86b8b11e12302fb1a461294fb99c9419cff54ce9f75bc01d2ab2469ba4680,0xdad93baf0076279f802080ab09511528f7276594,0xe324ca583e5b053a304a8f7576deae7f155aed54,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-06-06T19:11:01Z,0xb4aa39a9169f07b6b9a58a5eb039dc940e7d79919acf365695fd3f54e05d8907,0xdad93baf0076279f802080ab09511528f7276594,0x41e30f15679841beac3f4f3f4ec20b0c2d409a48,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-06-05T20:26:46Z,0x9c2fa4d9c72d399f2846cf7b99808185c931881d5e5c773be76e7c8a16e6ed61,0xdad93baf0076279f802080ab09511528f7276594,0x932a5f08d71170224db63636749229190759eebc,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-06-01T16:46:39Z,0x7224f5d595017fc408483b884fe14cffa09a47bf82aeb9df8163864e9fb92831,0x8d90331924a1b18b2da11048b68b40b4a70e02be,0x65c0be5f607248c0faba0c4b1e141a142ba312c5,0.0,$0.00
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,2025-05-30T19:37:59Z,0xba0d340908e1c32cd4e212a6666f3196d264eb9d88acb881c2fa8aabc2c47ac2,0x8d90331924a1b18b2da11048b68b40b4a70e02be,0x7054d994ad0820354e84bad177e356ea21148cab,0.0,$0.00
